0,1
1,2
2,2
3,0
4,1
5,2
6,2
7,2
8,2
9,2
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,2
18,2
19,1
20,2
21,1
22,1
23,1
24,1
25,2
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,0
39,2
40,2
41,0
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,0
50,2
51,2
52,0
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,2
65,2
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,2
79,1
80,1
81,1
82,0
83,1
84,1
85,2
86,1
87,1
88,0
89,2
90,2
91,2
92,2
93,2
94,2
95,1
96,2
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,2
110,1
111,2
112,2
113,2
114,1
115,1
116,1
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,2
129,2
130,1
131,1
132,1
133,1
134,1
135,2
136,2
137,1
138,1
139,1
140,1
141,2
142,2
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,2
164,1
165,1
166,2
167,2
168,1
169,2
170,0
171,0
172,2
173,2
174,2
175,2
176,1
177,0
178,2
179,2
180,2
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,2
205,2
206,0
207,0
208,0
209,0
210,1
211,1
212,2
213,2
214,2
215,2
216,1
217,0
218,1
219,2
220,1
